PaperId	JournalId	Year
2294472766	2898390257	2017
2299533066	2898390257	2016
2544035856	2898390257	2017
2546400802	2898390257	2017
2754314475	2898390257	2017
2548099645	2898390257	2017
2761223929	2898390257	2018
2347089074	2898390257	2017
2463753450	2898390257	2016
2939967464	2898390257	2019
2007221825	2898390257	2011
2007408087	2898390257	2008
2465047182	2898390257	2016
2587532878	2898390257	2017
2007681005	2898390257	2006
2007700942	2898390257	2006
2940983844	2898390257	2019
2007859192	2898390257	2012
2008055841	2898390257	2008
2942053569	2898390257	2019
2467027263	2898390257	2016
2589556455	2898390257	2017
2943418003	2898390257	2019
2932024174	2898390257	2019
1583243496	2898390257	2015
2473571157	2898390257	2016
2051317330	2898390257	2012
2008721535	2898390257	2010
2051562324	2898390257	2014
2051801075	2898390257	2011
2009281873	2898390257	2006
2475320490	2898390257	2016
2009682967	2898390257	2008
2009813155	2898390257	2013
2052600052	2898390257	2006
2010026528	2898390257	2007
2010284183	2898390257	2009
2491121651	2898390257	2016
2080823279	2898390257	2012
2081408501	2898390257	2011
2923376515	2898390257	2019
2081972471	2898390257	2010
2082013043	2898390257	2011
2604341540	2898390257	2017
2923899895	2898390257	2019
2924452585	2898390257	2019
2605129340	2898390257	2017
2605427154	2898390257	2017
2925171440	2898390257	2019
2027003862	2898390257	2011
2027067635	2898390257	2014
1995363609	2898390257	2009
2027271970	2898390257	2011
2028070644	2898390257	2008
1996567892	2898390257	2013
2291485905	2898390257	2016
2293721985	2898390257	2016
2294045555	2898390257	2016
2294246329	2898390257	2016
2030682731	2898390257	2013
2069790468	2898390257	2007
2580012136	2898390257	2017
2031094730	2898390257	2006
2118688725	2898390257	2013
2031410667	2898390257	2012
2070600895	2898390257	2013
2070630127	2898390257	2011
2031747342	2898390257	2012
2032070279	2898390257	2007
2582484639	2898390257	2017
2071212196	2898390257	2008
2071213110	2898390257	2011
2582567501	2898390257	2017
2583332089	2898390257	2017
2583336462	2898390257	2017
2584867116	2898390257	2017
2585694620	2898390257	2017
1969702326	2898390257	2012
1969930386	2898390257	2011
1971050909	2898390257	2014
1971059227	2898390257	2015
2416843538	2898390257	2016
2038118930	2898390257	2014
2064148679	2898390257	2011
2064233919	2898390257	2011
2042091113	2898390257	2010
2064700357	2898390257	2007
2159554154	2898390257	2012
2042637750	2898390257	2007
2038835012	2898390257	2006
2065080014	2898390257	2007
2065263222	2898390257	2009
2039469216	2898390257	2006
2065517126	2898390257	2011
2039633800	2898390257	2013
2875440427	2898390257	2018
212701423	2898390257	2015
1989835170	2898390257	2013
1990013296	2898390257	2015
2084914077	2898390257	2011
1990191520	2898390257	2008
1990309956	2898390257	2014
2085181843	2898390257	2007
2085820778	2898390257	2008
1991164591	2898390257	2013
1991321638	2898390257	2009
2056852774	2898390257	2007
2056946088	2898390257	2014
2090276858	2898390257	2011
2090711493	2898390257	2010
2090837695	2898390257	2012
2090933101	2898390257	2008
2091730858	2898390257	2009
2887550102	2898390257	2018
