	EditorId	IssnId	Year0	Year	Editorial
0	1	1	2008	2010	0.0
1	116	1	2008	2006	0.0
2	116	1	2008	2004	0.0
3	181	1	2011	2010	0.0
4	181	1	2011	2015	0.0
5	181	1	2011	2010	0.0
6	2624	1	2013	2015	0.0
7	2624	1	2013	2011	0.0
8	2624	1	2013	2010	0.0
9	2624	1	2013	2012	0.0
10	4762	1	2005	2004	0.0
11	4762	1	2005	2003	0.0
12	4762	1	2005	2005	0.0
13	4762	1	2005	2002	0.0
14	5103	1	2005	2004	0.0
15	5103	1	2005	2005	0.0
16	5103	1	2005	2003	0.0
17	5103	1	2005	2010	0.0
18	5103	1	2005	2010	0.0
19	5103	1	2005	2010	0.0
20	5103	1	2005	2003	0.0
21	7070	1	2005	2001	0.0
22	8475	1	2006	2003	0.0
23	9798	1	2005	2003	0.0
24	9798	1	2005	2007	0.0
25	9798	1	2005	2006	0.0
26	9798	1	2005	2004	0.0
27	9798	1	2005	2001	0.0
28	9798	1	2005	2008	0.0
29	9798	1	2005	2002	0.0
30	9798	1	2005	2006	0.0
31	18175	1	2008	2011	0.0
32	18175	1	2008	2012	0.0
33	18175	1	2008	2008	0.0
34	18175	1	2008	2009	0.0
35	18175	1	2008	2013	0.0
36	10183	1	2011	2010	0.0
37	10183	1	2011	2007	0.0
38	10183	1	2011	2012	0.0
39	10183	1	2011	2007	0.0
40	15886	1	2005	2009	0.0
41	15886	1	2005	2001	0.0
42	15897	1	2011	2008	0.0
43	18570	1	2013	2012	0.0
44	18570	1	2013	2011	0.0
45	18589	1	2005	2007	0.0
46	18589	1	2005	2007	0.0
47	18589	1	2005	2003	0.0
48	18589	1	2005	2002	0.0
49	18589	1	2005	2002	0.0
50	19698	1	2007	2009	0.0
51	19698	1	2007	2012	0.0
52	19698	1	2007	2008	0.0
53	19698	1	2007	2008	0.0
54	19698	1	2007	2011	0.0
55	18589	2845	1982	1978	0.0
56	9727	2845	1960	1963	0.0
57	9727	2845	1960	1961	0.0
58	9727	2845	1960	1964	0.0
59	9727	2845	1960	1962	0.0
60	2	2	2009	2011	0.0
61	2	2	2009	2013	0.0
62	2	2	2009	2013	0.0
63	2	2	2009	2013	0.0
64	2	2	2009	2009	0.0
65	106	2	2009	2008	0.0
66	106	2	2009	2012	0.0
67	610	2	2009	2014	0.0
68	4536	2	2009	2013	0.0
69	4536	2	2009	2011	0.0
70	19306	2	2005	2006	0.0
71	19306	2	2005	2008	0.0
72	19306	2	2005	2006	0.0
73	5321	2	2005	2004	0.0
74	5623	2	2005	2004	0.0
75	5623	2	2005	2004	0.0
76	5938	2	2009	2006	0.0
77	5938	2	2009	2007	0.0
78	5938	2	2009	2009	0.0
79	6313	2	2005	2009	0.0
80	6775	2	2009	2007	0.0
81	6775	2	2009	2007	0.0
82	7203	2	2005	2009	0.0
83	8021	2	2005	2008	0.0
84	8149	2	2005	2008	0.0
85	12712	2	2005	2008	0.0
86	12712	2	2005	2005	0.0
87	12712	2	2005	2010	0.0
88	16373	2	2005	2008	0.0
89	16998	2	2005	2005	0.0
90	16998	2	2005	2005	0.0
91	19082	2	2005	2004	0.0
92	19272	2	2005	2006	0.0
93	5623	15	2004	2002	0.0
94	7203	15	1994	1993	0.0
95	7203	15	1994	1998	0.0
96	7203	15	1994	1991	0.0
97	7203	15	1994	1997	0.0
98	7203	15	1994	1993	0.0
99	8021	15	1989	1986	0.0
100	12712	15	2004	2002	0.0
101	12712	15	2004	2009	0.0
102	19272	15	2005	2005	0.0
103	19272	15	2005	2005	0.0
104	19272	15	2005	2007	0.0
105	19272	15	2005	2008	0.0
106	19272	15	2005	2008	0.0
107	19272	15	2005	2009	0.0
108	19272	15	2005	2010	0.0
109	19272	15	2005	2006	0.0
110	19272	15	2005	2003	0.0
111	19272	15	2005	2001	0.0
112	19272	15	2005	2003	0.0
113	19272	15	2005	2009	0.0
114	19272	15	2005	2009	0.0
115	1238	15	2013	2013	0.0
116	1238	15	2013	2010	0.0
117	1238	15	2013	2018	0.0
118	1774	15	2012	2012	0.0
119	1774	15	2012	2012	0.0
120	1774	15	2012	2011	0.0
121	1774	15	2012	2013	0.0
122	1774	15	2012	2009	0.0
123	6868	15	2012	2015	0.0
124	6868	15	2012	2009	0.0
125	6868	15	2012	2017	0.0
126	95	15	2005	2005	0.0
