PaperId	Editorial
2033004570	1
2004442041	1
2065503046	1
2017568639	1
2800659321	1
1980688793	1
2269513594	1
2343915462	1
2808978079	1
2143714991	1
2530089901	1
1985691197	1
2012866610	1
2035895025	1
2015306905	1
2018401129	1
2204392493	1
2769545686	1
2930585062	1
2017151134	1
1981439440	1
2341936915	1
1980804579	1
1964012824	1
2008031945	1
1972076303	1
2003032146	1
2315223177	1
2078489781	1
2169646417	1
2330387127	1
2735027004	1
2606438850	1
51843384	1
208057760	1
217037233	1
235506210	1
248707211	1
283483218	1
2313378184	1
2314122169	1
2324164237	1
2328452196	1
2594724387	1
2614722005	1
2736776683	1
2921418328	1
2921629925	1
2936264677	1
2936445017	1
2939066418	1
2939670097	1
2061471844	1
13747819	1
56056585	1
210370457	1
214527922	1
224868792	1
231054101	1
231100397	1
242612449	1
243076026	1
256531498	1
258354128	1
258912625	1
270444132	1
321413104	1
1976578754	1
2031975462	1
2128610272	1
2313848509	1
2315647468	1
2316669685	1
2317990251	1
2319686227	1
2320578508	1
2320869233	1
2324345273	1
2328881817	1
2587099163	1
2592322519	1
2592397831	1
2595843980	1
2601028897	1
2612772420	1
2619553092	1
2726379532	1
2726474170	1
2931428444	1
2937078044	1
2938438038	1
2938977265	1
2939411421	1
2939941289	1
2000045427	1
1982345865	1
2017979984	1
2058481153	1
2076423183	1
1993720897	1
298729240	1
1977444224	1
2312749531	1
2322648616	1
2324579267	1
2939187751	1
11497809	1
29597185	1
102614125	1
104155488	1
106597907	1
114122626	1
115240608	1
126103028	1
137757745	1
143971957	1
145482954	1
181386647	1
214719000	1
214911361	1
214932638	1
220042922	1
220064520	1
227872704	1
232276072	1
238058234	1
241204413	1
241443027	1
241899188	1
249151448	1
253289607	1
255980045	1
256734415	1
267808712	1
276178813	1
281110217	1
282985630	1
284599092	1
285448608	1
296183842	1
305100923	1
306072767	1
309784310	1
316448518	1
320633230	1
341802548	1
350325885	1
1970755772	1
1971728304	1
1981075744	1
1991121477	1
1992834715	1
1996287317	1
1996984895	1
2000497649	1
2006941646	1
2007146729	1
2013048322	1
2024214713	1
2024353641	1
2025522043	1
2034415505	1
2038116781	1
2045743195	1
2050027139	1
2051210918	1
2052157635	1
2054462045	1
2056361866	1
2062244129	1
2063219518	1
2069173201	1
2069896826	1
2076070375	1
2077633390	1
2077649035	1
2077875367	1
2079188127	1
2081911889	1
2086165799	1
2089497219	1
2094281680	1
2160399572	1
2312466690	1
2312622374	1
2312737923	1
2312963599	1
2313065436	1
2313634231	1
2314725767	1
2318167477	1
2318395271	1
2319123280	1
