	affiliation	affiliationMag	if_same
0	md division of rheumatology washington university school of medicine st. louis, mo george l. bakris, md	washington university in st louis	1.0
1	phd, rn, anef washington state university college of nursing spokane, wa	washington state university spokane	1.0
2	phd, facultad de ciencias antropola3gicas, universidad auta3noma de yucata!n, ma(c)rida, yucata!n 97305, ma(c)xico phone +52-999-930-0090 ext 2206, e-m ;	universidad autonoma de yucatan	1.0
3	chemistry department tarbiat modarres university, tehran, iran e-m prof. dr. mustafa soylak erciyes university faculty of sciences department of chemistry 38039 kayseri, turkey	tarbiat modares university	1.0
4	"castro department of analytical chemistry and food tech. faculty of chemistry, university of castilla-la mancha av. camilo jose cela. 10, eaeur""13004 ciudad real, spain"	university of castilla la mancha	1.0
5	university of illinois, usa	university of illinois at urbana champaign	1.0
6	california state polytechnic university, usa	california state polytechnic university pomona	1.0
7	pierre et marie curie university paris, france	pierre and marie curie university	1.0
8	erasmus univer sity, rotterdam, the nether lands peter j. barnes imperial college, london, uk	erasmus university rotterdam	1.0
9	ben-gur ion univer sity of the negev, beaeur(tm)er sheva, israel	ben gurion university of the negev	1.0
10	md, faap northwestern &iversity medical school children memorial hospital chicago, illinois	children s memorial hospital	1.0
11	md, faap northwestern university feinberg school of medicine children's memorial hospital chicago, illinois	children s memorial hospital	1.0
12	geneva school of economics and management, universite de geneve, switzerland	university of geneva	1.0
13	microsoft research asia, beijing, china	microsoft research asia china	1.0
14	(strasbourg university, france	university of strasbourg	1.0
15	ph.d., university q/ pittsburgh, pa raymond fry, m.s., oregon health sciences university, portland, or karen gilbert (	university of pittsburgh	1.0
16	"(directrice, da(c)partement des sciences infi rmia""res, universita(c) du qua(c)bec a rimouski, canada"	universite du quebec a rimouski	1.0
17	california state university, ca, usa	california state university fullerton	1.0
18	imperial college healthcare, nhs trust london, united kingdom	imperial college london	1.0
19	department of systems science and mathematics box 1040, washington university st louis, mo 63130, u.s.a.	washington university in st louis	1.0
20	universita degli studi di napoli federico ii, napoli, italy	university of naples federico ii	1.0
21	department of agricultural engineering, the university of newcastle upon tyne, england	newcastle university	1.0
22	institute for aerospace studies, universit?,, of toronto, station f, toronto, ontario, canada	university of toronto	1.0
23	columbia university, usa	columbia university medical center	1.0
24	northern arizona universitv computers and composition online http//www.cwrl.utexas.edul ccjrnl c&c	northern arizona university	1.0
25	university of wisconsin	university of wisconsin madison	1.0
26	universite de toulouse william christie vanderbilt university george pennacchi university of illinois manju puri duke university s. viswanathan duke university	university of toulouse	1.0
27	(universita(c) libre de bruxelles, belgique) ; nicole rascle (universita(c) de bordeaux 2, france	universite libre de bruxelles	1.0
28	brent roberts university of illinois at chicago university of illinois, urbana-champaign william ickes university of texas at arlington	university of illinois at urbana champaign	1.0
29	dept. of civil engineering, university of nebraska - lincoln, 2200 vine street, lincoln, 68583-0856, usa	university of nebraska lincoln	1.0
30	universitea' de la rochelle la rochelle, france	university of la rochelle	1.0
31	university of colorado at boulder boulder	university of colorado boulder	1.0
32	texas a&m university	texas a m university	1.0
33	m. d., professor of surgery, univer- sity of pittsburgh; surgeon-in-chief, montefiore hospital, pittsburgh. as- sociate	university of pittsburgh	1.0
34	md professor and chief of pedia~ic surgery university of california school of medicine los angeles hiram c. polk, jr., md professor and	university of california los angeles	1.0
35	m.d., professor of surgery, uniuer- sity of pittsburgh; surgeon-in-chief montefore hospital, pittsburgh. asso- ciate	university of pittsburgh	1.0
36	department of gastroenterology and hepatology erasmus mc university medical center gravendijkwal 230 3015 ce rotterdam the netherlands	erasmus university rotterdam	1.0
37	department of gastroenterology and hepatology erasmus mc university medical center gravendijkwal 230 3015 ce rotterdam the netherlands	erasmus university medical center	1.0
38	"phd technical university berlin computer graphics and computer assisted medicine secr. fr 3-3 franklinstrasse 28aeur""29 10587 berlin, germany"	technical university of berlin	1.0
39	texas a&m university college station, tx, usa	texas a m university	1.0
40	department of health policy and administration, university oh north carolina, chapel hill, nc 27514-6201, u.s.a.	university of north carolina at chapel hill	1.0
41	department of health policv and administration. school of public health. cb 7.100. mcgavran-greenberg building, unlversitv of ' orth carolina, chapel hill. 1c 27599-71110, ls.a.	university of north carolina at chapel hill	1.0
42	philippe pinel professor of legal psychiatry and biomedical ethics universit6 de montrdal facultb de md<lecine c.p. 6128, succ. centre-vilie montreal, qu6bec h3c 3j7 canada	universite de montreal	1.0
43	philippe pinel professor of legal psychiatry and biomedical ethics universit~ de montreal facultd de m~decine c.p. 6128, succursale a montreal, quebec h3c 3,.17 canada	universite de montreal	1.0
44	cnrs - aix-marseille university, cerege, marseille, france	aix marseille university	1.0
45	dept. of restorative dentistry, dental school of the ludwig-maximilians-university, munich, germany	ludwig maximilian university of munich	1.0
46	sheffi eld hallam university, uk	sheffield hallam university	1.0
47	shei!feld hallam university, uk	sheffield hallam university	1.0
48	bs, pharmd, bcnsp nationwide childrenaeur(tm)s hospital dublin, oh anthony colantonio md diplomat american	nationwide children s hospital	1.0
49	dept of biochemistry, liverpool university, liverpool l69 3bx, u.k. p. j. hollowav long ashton research station, bristol bs18 9af, u.k. p. j. lea (	university of liverpool	1.0
50	dept of biochemistry, liverpool university, liverpool l69 3bx, u.k. p. j. holloway long ashton research station, bristol bsi8 9af, u.k. p. j. lea (	university of liverpool	1.0
51	dept of biochemistry, liverpool university, liverpool l69 3bx, u.k. e j. holloway long ashton research station, bristol bsi8 9af, u.k. p. j. lea (	university of liverpool	1.0
52	da(c)partement des technologies solaire, commissariat a laeur(tm)a(c)nergie atomique et aux a(c)nergies alternatives (cea), le bourget-du-lac, france	commissariat a l energie atomique et aux energies alternatives	1.0
53	ben-gurion university of the negev, israel	ben gurion university of the negev	1.0
54	university of maryland	university of maryland college park	1.0
55	university of north carolina, chapel hill helenrose fives texas tech university david geary university of missouri, columbia shawn glynn university of georgia	university of north carolina at chapel hill	1.0
56	universita(c) de sherbrooke, sherbrooke, qc, canada	universite de sherbrooke	1.0
57	washington university in st. louis, st. louis, mo, usa	university of washington	1.0
58	department of computer science, university of aarhus, it- parken, aabogade 34, dk-8200 aarhus n, denmark	aarhus university	1.0
59	university of wisconsin at milwaukee, milwaukee, wisconsin, usa	university of wisconsin milwaukee	1.0
60	(washington university, usa	washington university in st louis	1.0
61	department of economics, kiel university roger h. von haefen, department of agricultural & resource economics, north carolina state university	university of kiel	1.0
62	universita$?t hamburg, hamburg, germany roger h. von haefen, department of agricultural & resource economics, north carolina state university	university of hamburg	1.0
63	universita$?t hamburg, hamburg, germany roger h. von haefen, north carolina state university, raleigh, north carolina, usa	university of hamburg	1.0
64	faculty of medicine, department of medical oncology, gaziantep university, gaziantep, turkey	university of gaziantep	1.0
65	university of california at santa barbara, ca, usa	university of california santa barbara	1.0
66	university of illinois, urbana, il, usa	university of illinois at urbana champaign	1.0
67	university of newcastle, callaghan, new south wales, australia	newcastle university	1.0
68	agriculture and agri-food, canada	agriculture and agri food canada	1.0
69	unlvasity of york. uk	university of york	1.0
70	university of colorad0 denver, usa	university of colorado denver	1.0
71	english department, 1015 ninth st. park, campus box 175, university of colorado-denver, denver, co 80217-3364, usa	university of colorado denver	1.0
72	university of colorado at denver. lisa	university of colorado denver	1.0
73	md brigham and womenaeur(tm)s hospital, boston, ma paul peppard, phd university of wisconsin-madison, madison, wi shantha m.w. rajaratnam, phd monash university, victoria, australia	brigham and women s hospital	1.0
74	md brigham and womenaeur(tm)s hospital, harvard medical school, boston, ma, usa	brigham and women s hospital	1.0
75	(universit`a ca' foscari di venezia, italy	ca foscari university of venice	1.0
76	head of economics department, universit`a ca' foscari di venezia, italy	ca foscari university of venice	1.0
77	rector, universit`a ca' foscari di venezia, italy	ca foscari university of venice	1.0
78	(universitat pompeu fabra, spain	pompeu fabra university	1.0
79	md washington university saint louis, missouri	washington university in st louis	1.0
80	seoul national univ. of science & technology (seoultech), seoul, the republic of korea maria aranzazu martafnez universidad complutense de madrid, madrid, spain	seoul national university of science and technology	1.0
81	u niv ersity of r ochester m edical center , n e w y o r k, usa	university of rochester medical center	1.0
82	the universtiy of hong kong, hong kong	university of hong kong	1.0
83	md memorial sloan-kettering cancer center new york, new york victoria m. pratt, phd quest diagnostics chantilly, virginia	memorial sloan kettering cancer center	1.0
84	md memorial sloan-kettering cancer center new york, new york. stetler-stevenson	memorial sloan kettering cancer center	1.0
85	md memorial sloan-kettering cancer center new york, new yorkon, gregory j. tson	memorial sloan kettering cancer center	1.0
86	new yo rk university marciano siniscalchi northwestern university xavier vives iese business school barcelona	new york university	1.0
87	university of california at berkeley, california, u.s.a. bart l. r. de moor katholieke universiteit, leuven, belgium	university of california berkeley	1.0
88	department of psychology, university of heidelberg, heuptstr. 47-51, d-697 17 heidelberg, germany	heidelberg university	1.0
89	department of methodology, history and theory of science, national and capodistrian university of athens, 44 lppokrafus street, athens 70680, greece	national and kapodistrian university of athens	1.0
90	dept of general and educational psychology, university of koblenz-landau, thomas-nast-str. 44, d-76829 landau, germany	university of koblenz and landau	1.0
91	(political science) glasgow university, uk	university of glasgow	1.0
92	(economics) univ. of verona, italy	university of verona	1.0
93	armand trousseau hospital pierre et marie curie university paris, france	pierre and marie curie university	1.0
94	universityof western australia, crawley, western australia	university of western australia	1.0
95	palacky university, olomouc, czech republic	palack university olomouc	1.0
96	institute of physiology, czech academy of sciences, videnska 1083, 142 20 prague 4-krc, czech republic	academy of sciences of the czech republic	1.0
97	university of durham, queen's campus, stockton, thornaby, stockton-on-tees, ts17 6bh, u.k.	durham university	1.0
98	university of california at san diego (ucsd), la jolla, ca, usa	university of california san diego	1.0
99	m.d., emeritus professor of medicine the mount sinai school of medicine of the city university of new york, new york	icahn school of medicine at mount sinai	1.0
100	universidade federal de sapso carlos, brazil	federal university of sao carlos	1.0
101	scripps institution of oceanography, university of califorinia, san diego, usa	university of california san diego	1.0
102	chung-shan medical university, taiwan yoshiyuki kakehi kagawa university, japan	chung shan medical university	1.0
103	ulsan university, korea	university of ulsan	1.0
104	chung-shan medical university, taiwan zulki i md zainuddin e national university of malaysia, malaysia	chung shan medical university	1.0
105	chung-shan medical university, taiwan zulkiaoei md zainuddin a,e national university of malaysia, malaysia	chung shan medical university	1.0
106	bern university hospital, switzerland	university of bern	1.0
107	faculty of pharmaceutical sciences, universita(c) paris sud, paris, france	university of paris sud	1.0
108	department of zoology, southern illinois university, cqrbondale, il 62901 u.s.a.	southern illinois university carbondale	1.0
109	pennsylvania state universio,, university park, pennsylvania. program officer joan lockard, university of washington, seattle, washhlgton.	pennsylvania state university	1.0
110	department of zoology, the university, st. andrews, fife ky16 9ts. hon.	university of st andrews	1.0
111	kingaeur(tm)s college, london, uk	king s college london	1.0
112	oxford university, oxford, uk	university of oxford	1.0
113	kingaeur(tm)s college london, london, uk	king s college london	1.0
114	centrum wiskunde & informatica (cwi), science park 123, 1098 xg amsterdam, netherlands	centrum wiskunde informatica	1.0
115	northwest a&f university, yangling, shaanxi, china	northwest a f university	1.0
116	u.s. department of agriculture (usda), agricultural research service (ars), madison, wisconsin, usa	united states department of agriculture	1.0
117	department of molecular biology, albert einstein college o medicine, 1300 morris park avenue, bronx, new york 10461	albert einstein college of medicine	1.0
118	md university of cincinnati and children's hospital medical center office of clinical trials	cincinnati children s hospital medical center	1.0
119	| geneva university hospitals, geneva, switzerland	university of geneva	1.0
120	university of california at san diego 9500 oilman drive dept. 0114 la jolla, california 92093-0114 june huh institute for advanced study, princeton princeton, nj 08540, usa	university of california san diego	1.0
121	school of mathematics birmingham university edgbaston birmingham b15 2tt bernard leclerc laboratoire de matha(c)matiques aeur~nicolas oresmeaeur(tm) universita(c) de caen f-14032 caen cedex, france	university of birmingham	1.0
122	rn , phd professor and head of the institute of higher education and research in healthcare lausanne university & lausanne university hospital lausanne, switzerland	university of lausanne	1.0
123	rn, phd professor and head of the institute of higher education and research in healthcare, lausanne university & lausanne university hospital lausanne, switzerland	university of lausanne	1.0
124	university of heidelberg, germany	heidelberg university	1.0
125	m stop k765, los alamos national laboratories, p.o. box 1663, los alamos, nm 87545, usa	los alamos national laboratory	1.0
126	n. d. zelinsky institute of organic chemistry, academy of sciences, moscow b-334, russia	russian academy of sciences	1.0
127	department of chemistry, the university, southampton s09 5nh, uk	university of southampton	1.0
128	department of chemistry, the university, southampton so9 5nh, uk	university of southampton	1.0
129	department of chemistry, the university, southampton so9 5nh, u.k. j. feeney, national institute for medical research, mill hill, london nw7 1 aa, u.k.	university of southampton	1.0
130	kingaeur(tm)s college london marilyn martin-jones university of birmingham christine pappas university of illinois in chicago rebec	king s college london	1.0
131	university of lit'efj/ool, department of pharmacolory & therapeutics, p.o. box 147, liverpool l69 3bx, fnrland	university of liverpool	1.0
132	university of livervool, department of pharmacology & therapeutics, p.o. box 147, liverpool l69 3bx, england	university of liverpool	1.0
133	university of livereool, department o[ pharmacology & therapeutics, p.o. box 147, liverpool l69 3bx, england	university of liverpool	1.0
134	unit'ersity of liverpool, department of pharmacology ~ therapeutics, p.o. box 147, liverpool l69 3bx, *ke liljestrand--stockholm, sweden	university of liverpool	1.0
135	department of dermatology, glasgow university, glasgow, u.k. j.p.t 40, i--a pergamon press oxford - new york beijing frankfurt s,5,o paulo sydney tokyo toronto	university of glasgow	1.0
136	university liverpool, department pharmacology & therapeutics, p.o. box 147, liverpool l69 38x, england	university of liverpool	1.0
137	unirersitv of strathclyde, department of physiology & pharmacology, royal college, 204 george street, glasgow g 1 i xw scotland clinical pharmacology and therapeutics	university of strathclyde	1.0
138	unieersity of liverpool, department of pharmacology & therapeutics, p.o. box 147, liverpool l69 3bx, england	university of liverpool	1.0
139	md, mph professor of medicine and epidemiology and public health head, division of rheumatology and clinical immunology university of maryland school of medicine baltimore, maryland	university of maryland baltimore	1.0
140	new y ork university medical center, u.sa. nicos a. nicola ro yal melbour ne hospital, melbour ne , australia	new york university	1.0
141	university of uppsala, sweden	uppsala university	1.0
142	groningen university, the netherlands	university of groningen	1.0
143	american council for an energy-efficient economy, usa	american council for an energy efficient economy	1.0
144	university of applied science bielefeld, bielefeld, germany	bielefeld university of applied sciences	1.0
145	university of california-davis davis, california laixiang sun university of london london, united kingdom	university of california davis	1.0
146	m.d. the childrenaeur(tm)s hospital of philadelphia philadelphia, pennsylvania j. dennis fortenberry, m.d., m.p.h. india	children s hospital of philadelphia	1.0
147	hormel institute, minnesota 55912, u.s.a. un&ersity of minnesota, 801 16th avenue, n.e., aust&,	university of minnesota	1.0
148	hormel institute, university of mhmesota, 801 16th at,enue, n.e., austh~, minnesota 55912, u.s.a.	university of minnesota	1.0
149	universitya paris diderot, france	paris diderot university	1.0
150	university of california at davis, davis, ca, usa	university of california davis	1.0
151	turku university and turku university central hospital, turku, finland	turku university hospital	1.0
152	hospitais universita!rios de coimbra, coimbra, portugal	hospitais da universidade de coimbra	1.0
153	poznana' university of medical science, poznana', poland	poznan university of medical sciences	1.0
154	turku university and turku university central hospital, turku, finland	university of turku	1.0
155	university of maryland school of dentistry, baltimore, mdvolume 18, number 4	university of maryland baltimore	1.0
156	university of maryland school of dentistry, baltimore, mdraul garcia, boston university school of dental medicine, boston, ma	university of maryland baltimore	1.0
157	university of maryland school of dentistry, baltimore, mdvolume 18, number 2	university of maryland baltimore	1.0
158	university vienna, austria	university of vienna	1.0
159	university of maryland, usa	university of maryland college park	1.0
160	department of physics, the university, nottingham ng7 2rd, u.k. rolf enderlein, sektion physik, humboldt-universit~t zu berlin, 1040 berlin, invalidenstr. 11 o, germany	university of nottingham	1.0
161	department of physics, the university, nottingham ng7 2rd, u.k. rolf enderlein, sektion physik, humboldt-universit~it zu berlin, 1040 berlin, invalidenstr. 110, germany	university of nottingham	1.0
162	department of physics, the university, nottingham ng7 2rd, u.k. rolf enderlein, sektion physik, humboldt- universitzu berlin, 1040 berlin, invalidenstr.110, germany	university of nottingham	1.0
163	university of illinois institute for genomic biology urbana, illinois, usa	university of illinois at urbana champaign	1.0
164	m.d the johns hopkins university	johns hopkins university school of medicine	1.0
165	west virginia university wiley w. souba ohio state university	university of west virginia	1.0
166	west virginia university wiley w. souba penn state university	university of west virginia	1.0
167	m.d. the johns hopkins university	johns hopkins university school of medicine	1.0
168	m.d. the johns hofikins university associate	johns hopkins university school of medicine	1.0
169	m.d. the johns hofikins university associate	johns hopkins university	1.0
170	m.d. the johns hopkins university associate	johns hopkins university school of medicine	1.0
171	m.d. the johns hopkins university assistant	johns hopkins university school of medicine	1.0
172	m.d, the johns hopkins university	johns hopkins university school of medicine	1.0
173	md state university of new york, upstate benjamin james, md, ms beth israel	state university of new york upstate medical university	1.0
174	laboratoire d'analyse num~rique tour 55, univ. pierre et marie curie 4 place jussieu, f-75005 paris, france	pierre and marie curie university	1.0
175	laboratoire d'analyse num(~rique tour 55, univ. pierre et marie curie 4 place jussieu, f-75005 paris, france	pierre and marie curie university	1.0
176	laboratoire d'analyse numique tour 55, univ. pierre et marie curie 4 place jussieu, f-75005 paris, france	pierre and marie curie university	1.0
177	comput. sci div. university of ca(ifornia, berkeley 571 evans hall berkeley, ca 94720	university of california berkeley	1.0
178	departement de mathematiques universit6 du quebec & montr6al c.p. 8888, succursale centre ville montreal, quebec canada	universite du quebec a montreal	1.0
179	department of systems science and mathematics, box 1040, washington university, st. louis, mo 63130, u.s.a.	washington university in st louis	1.0
180	laboratoire d'analyse numerique tour 55, univ. pierre et marie curie 4 place jussieu, f-75005 paris, france	pierre and marie curie university	1.0
181	department of aquatic ecology, university of duisburg-essen d-45117 essen, germany	university of duisburg essen	1.0
182	department of aquatic ecology, university of duisburg-essen, d-45117 essen, germany	university of duisburg essen	1.0
183	, universidad austral de chile, instituto de zoologia, casilla 567, valdivia, chile	austral university of chile	1.0
184	, universidad austral de chile, instituto de ciencias marinas y limnola3gicas, casilla 567, valdivia, chile	austral university of chile	1.0
185	department of applied zoology hydrobiology university of duisburg-essen d-45117 essen, germany	university of duisburg essen	1.0
186	university of colorado, jila, campus box 440, boulder, co 80309-0440, usa	university of colorado boulder	1.0
187	king's college, london. u.k. george duncan, university of fast anglia, norwich, u.k. berndt e. i. edinger, university of lund. fund. sweden	king s college london	1.0
188	washington university school of medicine, fl, u.s.a. st. louis, mo, u.s.a. carlos belmonte, universidad miguel hernandez, san juan de alicante, spain	washington university in st louis	1.0
189	university of uppsala, uppsala, sweden	uppsala university	1.0
190	jules stein eye institute, ucla, los angeles, ca, u.s.a. shuzo iwata, meijo university, nagoya, japan	university of california los angeles	1.0
191	king's college, london, u.k. george duncan, university of east anglia, norwich, u.k. berndt e. j. ehinger, university of lund, lund, sweden	king s college london	1.0
192	jules stein eye institute, ucla. los angeles, ca, u.s.a. shuzo iwata, meijo university, nagoya, japan	university of california los angeles	1.0
193	now york university medical center, new york, n.y., u.s.a. j. w. rohen, university of erlangen-niirnberg, erlangen, west germany	new york university	1.0
194	university of erlangen-niirnberg, erlangen, west germany	university of erlangen nuremberg	1.0
195	university of erlangen-nnberg, erlangen, west germany	university of erlangen nuremberg	1.0
196	department of applied mathematics, the queen's university, belfast bt7 inn, northern ireland	queen s university belfast	1.0
197	department of applied mathematics, the queen university, belfast 7, northern ireland	queen s university belfast	1.0
198	department of applied mathematics, the queen's university, belfast 7, northern ireland	queen s university belfast	1.0
199	central food 'technology research institute, mysore, india	central food technological research institute	1.0
200	washington university, st. louis, mo, usa	university of washington	1.0
201	kof swiss economic institute, lee g 116, eidgenapssische technische hochschule (eth) za 1/4 rich, leonhardstrasse 21, 8092, zurich, switzerland	eth zurich	1.0
202	institute of economics and statistics, university of aarhus, dk-8000 aarhus c, denmark	aarhus university	1.0
203	university of california at berkeley, ca, usa	university of california berkeley	1.0
204	university of california at berkeley, california, usa	university of california berkeley	1.0
205	washington university, st. louis, mo, usa	washington university in st louis	1.0
206	university of california at berkeley, berkeley, california, usa	university of california berkeley	1.0
207	kof swiss economic institute, eidgenapssische technische hochschule (eth) za 1/4 rich, leonhardstrasse 21, 8092, zurich, switzerland	eth zurich	1.0
208	kingaeur(tm)s college london, london, england, uk	king s college london	1.0
209	university of california ucsd medical center san diego, ca jan a. moynihan university of rochester medical center rochester, ny	university of california san diego	1.0
210	university of illinois at urbana-champaign, laboratory of immunophysiology department of animal sciences, 212 edward r. madigan laboratory, 1201 west gregory drive, urbana, il 61801	university of illinois at urbana champaign	1.0
211	institute of psychiatry, kingaeur(tm)s college london room 2-055, the james black centre, 125 coldharbour lane london, united kingdom	king s college london	1.0
212	department of psychological medicine institute of psychiatry, kingaeur(tm)s college london room 2-055, the james black centre, 125 coldharbour lane london, united kingdom	king s college london	1.0
213	shanghai jiaotong university school of medicine, shanghai, china	shanghai jiao tong university	1.0
214	ohio state university medical center, columbus, ohio, usa	the ohio state university wexner medical center	1.0
215	universav of new south wales, australia	university of new south wales	1.0
216	institute for advanced study in the behavioral sciences, stanford, ca 94305, usa	center for advanced study in the behavioral sciences	1.0
217	hasselt university & vrije universiteit brussel, belgium	university of hasselt	1.0
218	national institute of materials science, tsukuba, japan	national institute for materials science	1.0
219	a%0cole normale supa(c)rieure, lyon cedex 07, france	ecole normale superieure de lyon	1.0
220	universita(c) catholique de louvain, louvain-la-neuve, belgium	universite catholique de louvain	1.0
221	universita(c) rena(c) descartes, paris, france	paris descartes university	1.0
222	"aeur"" dept. of materials science & engineering, institute for biomaterials, friedrich-alexander-universita$?t erlangen-na 1/4 rnberg, cauerstr. 6, 91058, erlangen, germany"	university of erlangen nuremberg	1.0
223	naval research laboratory washington 2 d. c.	united states naval research laboratory	1.0
224	kwasan university university of kyoto kyoto, japan	kyoto university	1.0
225	haifa university, the hebrew university, israel	university of haifa	1.0
226	massachusett institute of technology donald m. peck, university o utah michelle pellerey, universio salesiana, italy	massachusetts institute of technology	1.0
227	cincinnati children's hospital medical center, cincinnati/university of cincinnati college of medicine, oh, usa	cincinnati children s hospital medical center	1.0
228	cincinnati children's hospital medical center, cincinnati/university of cincinnati college of medicine, department of pediatrics, oh, usa	cincinnati children s hospital medical center	1.0
229	university of the philippines, ermita manila, philippines	university of the philippines manila	1.0
230	king's college london, london, england, uk	king s college london	1.0
231	catholic university of america, washington, dc heting chu, long island university, new york samuel kai wah chu, the university of hong kong, pokfulam, hong kong	the catholic university of america	1.0
232	ph.d. department of communicative disorders university of wisconsin-eau claire eau claire, wisconsin 54701	university of wisconsin eau claire	1.0
233	tech. university of liberec, czech republic	technical university of liberec	1.0
234	courant institute, new york universi~ 251 mercier street, new york, ny 10012, usa	new york university	1.0
235	department of computer science, tokyo university, 7-3-1 hongo, bunkyo- ku, tokyo, japan	university of tokyo	1.0
236	computer technology institute, patras, p.o. box 1122, 26110 patras, greece	research academic computer technology institute	1.0
237	department of computer science, washington university, campus box 1045, one brookings drive, st. louis, mo 63130-489.9, usa	washington university in st louis	1.0
238	department of computer science, university of illinois at urbana-champaign, 1304 w. springfield avenue, urbana, il 61801, usa	university of illinois at urbana champaign	1.0
239	department of computer science, washington university, campus box 1045, one brookings drive, st. louis, mo 63130-4899, usa	washington university in st louis	1.0
240	department of mathematics, city college, cuny, new york, ny 10031, usa	city university of new york	1.0
241	department of computer science, washington university, campus box 1045, one brookings drive, st. louis, mo 63130-4899, usa	university of washington	1.0
242	department of computer science, washington university, campus box 1045, one brookings drive, st. louis, mo 63130-489.9, usa	university of washington	1.0
243	department of computer science, tokyo university, 7-3-1 hongo, bunkyo-ku, tokyo, japan	university of tokyo	1.0
244	department of electrical engineering, university of texas, austin, tx 78712, usa	university of texas at austin	1.0
245	artificial intelligence laboratory, massa- chusetts institute of technology, 545 technology square, cambridge, ma 02139, usa	massachusetts institute of technology	1.0
246	rutherford appieton laboratory, chilton, didcot, oxfordshire 0x11 oqx, uk	rutherford appleton laboratory	1.0
247	department of engineering science. univer- sity of oxford. parks road. oxford 0x1 3pj. uk	university of oxford	1.0
248	department of engineering science, univer- sity of oxford, parks road, oxford 0x1 3pj, uk	university of oxford	1.0
249	md, phd genitourinary oncology service memorial sloan-kettering cancer center new york, ny	memorial sloan kettering cancer center	1.0
250	university of newcastle upon tyne, newcastle upon tyne. uk	newcastle university	1.0
251	university of aalborg, denmark	aalborg university	1.0
252	(u iversity of aveiro, portugal	university of aveiro	1.0
253	"university of california aeur"" los angeles, ca takeshi matsui, hitotsubashi university, tokyo japan"	university of california los angeles	1.0
254	state university of new york at new paltz chuang lin tsinghua university ling liu georgia	state university of new york system	1.0
255	department of physics, university r>t calgary czechoslovakia dr o. taraba faculty of electrical engineering czech technical university, prague france	university of calgary	1.0
256	bioacoustics laboratory, department of electrical engineering, 1406 w. green street, university of illinois, urbana, il 61801, usa	university of illinois at urbana champaign	1.0
257	pt, phd, ocs associate professor and head discipline of physiotherapy - faculty of health sciences the university of sydney new south wales australia	university of sydney faculty of health sciences	1.0
258	university de liege liege, belgium	university of liege	1.0
259	university of maryland school of medicine baltimore, maryland	university of maryland baltimore	1.0
260	university of illinois at urbana-champaign, usa	university of illinois at urbana champaign	1.0
261	university of california at san francisco, san francisco, usa	university of california san francisco	1.0
262	university la sapienza, rome, italy	sapienza university of rome	1.0
263	ichan school of medicine at mount sinai, new york, usa	icahn school of medicine at mount sinai	1.0
264	university hospital ghent, ghent, belgium	ghent university hospital	1.0
265	texas a&m university-commerce, college of business, commerce, texas, usa	texas a m university commerce	1.0
266	university of california at berkeley, dept. of agricultural and resource economics, ca berkeley, usa	university of california berkeley	1.0
267	luleay= university of technology, sweden	lulea university of technology	1.0
268	university of umea, umea david newman university of georgia, athens colin price university of wales, bangor eirik romstad norwegian university of life sciences, as, norway	umea university	1.0
269	university of umea, umea c.t.s. nair fao forestry department harry j. paarsch university of melbourne, melbourne eija pouta mtt agrifood research, finland	umea university	1.0
270	university of umea, umea eija pouta mtt agrifood research, finland	umea university	1.0
271	university of umea, umea c.t.s. nair fao forestry department eija pouta mtt agrifood research, finland	umea university	1.0
272	osada city university medical school, department of neuroscience, 1-4-3 asahimachi, abenoku 545-8585, japan	osaka city university	1.0
273	merln institute for technology-inspired regenerative medicine, university of maastricht, maastricht, netherlands	maastricht university	1.0
274	md, facs penn state university college of medicine, hershey, pennsylvania, usa	penn state milton s hershey medical center	1.0
275	university of north carolina, charlotte margot lamme university of alabama brooke fisher liu university of maryland maraa len-raos university of georgia	university of north carolina at charlotte	1.0
276	university of north carolina, charlotte margot lamme university of alabama maraa len-raos university of georgia	university of north carolina at charlotte	1.0
277	eberhard-karls-universitat tubingen department of economic history mohlstrasse 36, d-72074, tubingen germany	university of tubingen	1.0
278	economics department oxford university oxford, uk	university of oxford	1.0
279	department of economics and management universitat pompeu fabra, barcelona, spain	pompeu fabra university	1.0
280	department of economics and management universitat pompeu fabra barcelona, spain	pompeu fabra university	1.0
281	universitat pompeu fabra (upf) department of economics and management c/ ramon trias fargas, 25-27 08005, barcelona spain	pompeu fabra university	1.0
282	phd, rn, acrn, ccm assistant professor university of maryland, school of nursing baltimore, md, usa	university of maryland baltimore	1.0
283	scripps resear ch institute, san diego pio conti university of chieti, italy	scripps research institute	1.0
284	university of north carolina (usa	university of north carolina at chapel hill	1.0
285	univ. of california, berkeley, ca john d. corbett, iowa univ., ames, ia paul hagenmuller, lab. du cnrs, talence, france	university of california berkeley	1.0
286	univ. of california, berkeley john d. corbett, iowa univ., ames leroy eyring, arizona univ., tempe karuo fueki, univ. of tokyo, japan	university of california berkeley	1.0
287	univ. of california, berkeley john d. corbett, iowa univ., ames leroy eyring, arizona univ., tempe kazuo fueki, univ. of tokyo, japan	university of california berkeley	1.0
288	university of california at los angeles (ucla), usa	university of california los angeles	1.0
289	md associate professor of anesthesia, pharmacology, and obstetrics & gynecology university of pennsylvania philadelphia, pa	hospital of the university of pennsylvania	1.0
290	md professor emeritus of anaesthesia harvard medical school anesthetist brigham and women's hospital, boston	brigham and women s hospital	1.0
